crash_city,crash_country,lat,lon,death,airline,ori,year,dest
Paulatuk,Northwest Territory,29.3546282,-98.4043306,2,Inuvik Coastal Airways,Inuvik,1973,Paulatuk
Karatepe Mountains,Turkey,41.611921,42.6178819,154,Turkish Airlines (THY),Istanbul,1972,Antalya
Bucharest,Romania,44.4267674,26.1025384,29,Malev Hungarian Airlines,Istanbul,1973,Bucharest
Ankara,Turkey,39.9333635,32.8597419,47,Turkish Airlines (THY),Istanbul,1973,Ankara
Near Ercan,Cyprus,35.1127443,33.9294471,15,Talia Airways,Istanbul,1973,Ercan
Off Tanegashima,Japan,30.609558,130.9788775,17,Military - U.S. Marine Corps,Iwakuni,1986,"Fulemma, Okinawa"
Izmir,Turkey,38.423734,27.142826,66,Turkish Airlines (THY),Izmir,1973,Istanbul
Istanbul,Turkey,41.0082376,28.9783589,42,Turkish Airlines (THY),Izmir,1971,Istanbul
Laurel,Mississippi,31.6940509,-89.1306124,2,Hesler Noble - Air Taxi,"Jackson, MS",1982,"Laurel, MS"
Jacksonville,Florida,30.3321838,-81.655651,13,Provincetown - Boston Airlines,Jacksonville,1973,Tampa
Jacksonville,Florida,30.3321838,-81.655651,14,Military - United States Navy,Jacksonville NAS,1975,"Guantanamo Bay, Cuba"
Jeffersonville,Georgia,32.687646,-83.3465561,4,Air Taxi,"Jacksonville, FL",1975,"Atlanta, GA"
Off Padang,Philippines,12.879721,121.774017,69,Merpati Nusantara Airlines,Jakarta,1979,Padang
Near Palembang,Indonesia,-2.9760735,104.7754307,25,Garuda Indonesia Airlines,Jakarta,1974,Palembang
Branti Airport,Indonesia,14.4822919,121.0302159,27,Garuda Indonesia Airlines,Jakarta,1979,Bandar
New York,New York,40.7127837,-74.0059413,11,Trans International Airlines,"Jamaica, NY",1985,Washington D.C.
Bath,Pennsylvania,40.7256524,-75.3940699,4,Monmouth Airways,"Jamaica, NY",1988,"Allentown, PA"
Near Aswan,Egypt,24.088938,32.8998293,100,United Arab Airlines,Jeddah,1987,Aswan
Kano,Nigeria,12.0021794,8.5919561,176,Alia Royal Jordanian Airlines,Jeddah,1970,Lagos
Near Al Bayda,Lebanon,33.9997222,35.7163889,59,Balkan Bulgarian Airlines,Jeddah,1977,Benghazi
Near Katunayake,Sri Lanka,7.1696231,79.8912813,183,Loftleidir IcelandiAirlines,Jeddah,1969,Colombo
Near At Ta'if,Jeddah,21.2758544,40.4177212,156,Pakistan International Airlines,Jeddah,1979,Karachi
Near Germiston,South Africa,-26.2258734,28.1707794,3,National Airways,Johannesberg,1986,"Orapa Mine, Botswana"
Salem,Oregon,44.9428975,-123.0350963,3,McKenzie Flying Service - Air Taxi,"John Day, OR",1979,"Salem, OR"
Juara,Brazil,-11.2535221,-57.5082303,17,TABA,Juara,1988,Cuiaba
Juliaca,Peru,-15.4996879,-70.129653,12,Aero Peru,Juliaca,1973,Arequipa
Ketchikan,Alaska,55.3422222,-131.6461111,1,Alaska Airlines,Juneau,1972,Ketchikan
Hoonah,Alaska,58.11,-135.4436111,4,Southeast Sky - Air Taxi,"Juneau, AK",1979,"Tenakee, AK"
Juneau,Alaska,58.3019444,-134.4197222,5,Channel Flying Service - Air Taxi,"Juneau, AK",1981,Return
Juneau,Alaska,58.3019444,-134.4197222,3,Southeast Skyways - Air Taxi,"Juneau, AK",1982,Return
Afghanistan,No Record Found,33.93911,67.709953,25,Military - Afghan Republican Air Force,Kabul,1975,Khowst
Kekaha,Hawaii,21.9708333,-159.715,1,Trans Isle Air,Kalaupapa,1969,Lihue
Near Kandahar,Afghanistan,31.628871,65.7371749,52,Ariana Afghan Airlines,Kandahar,1973,Farah
Khost,Afghanistan,33.3338472,69.9371673,53,Bakhtar Afghan Airlines,Kandahar,1984,Kabul
Near Sokcho,South Korea,38.2070148,128.5918488,2,Korean Airlines,Kangnung,1974,Seoul
Near Ikeja,Nigeria,6.601838,3.3514863,87,Nigeria Airways,Kano,1970,Lagos
Raton,New Mexico,36.9033581,-104.4391532,6,Air Taxi,"Kansas City, MO",1975,"Raton, NM"
Kansas City,Kansas,39.114053,-94.6274636,4,Air Taxi,"Kansas City, MO",1977,"York, NE"
Mt. Paku,Taiwan,22.1088367,-100.9477211,24,China Airlines (Taiwan),Kaohsiung,1975,Hualien
Tainan,Taiwan,22.9998999,120.2268758,36,Far Eastern Air Transport,Kaohsiung,1969,Taipei
Near Mina Jebel Ali,UAE,24.9857145,55.0272904,112,Gulf Air,Karachi,1975,Abu Dhabi
Nawabshah,Pakistan,26.2442211,68.4100338,24,Aeroflot,Karachi,1985,Tashkent
Near Kariba,Rhodesia (Zimbabwe),-16.5220465,28.8509415,38,Air Rhodesia,Kariba,1975,Salisbury
Near Kariba,Rhodesia,-16.5220465,28.8509415,59,Air Rhodesia,Kariba,1986,Salisbury
Near Uchuduk,Uzbekistan,42.1534906,63.5617685,200,Aeroflot,Karshi,1973,Leningrad
Kassan,Alaska,55.5388889,-132.4008332,5,Webber Airlines -Air Taxi,"Kassan, AK",1984,"Coffman Cove, AK"
Near Delhi,India,28.6139391,77.2090212,1,Royal Nepal Airlines,Kathmandu,1971,Delhi
Hitauda,Nepal,27.4367653,85.0025539,35,Royal Nepal Airlines,Katmandu,1969,Simra
Kayenta,Arizona,36.7277769,-110.2545767,2,Monument Valle - Air Taxi,"Kayenta, AZ",1975,"Tucon, AZ"
Near Alma-Ata,Kazakastan,43.2220146,76.8512485,90,Aeroflot,Kazan,1979,Chelyabinsk
Hilo Island,Hawaii,19.7297222,-155.09,11,Island Air,"Keahole, HI",1969,"Kahului, HI"
San Antonio,Texas,29.4241219,-98.4936282,3,Southern Air Transport,Kelly AFB,1977,Warner Robins AFB
Valdez,Alaska,61.1308333,-146.3483333,2,Kenai Air Service - Air Taxi,"Kenai, AK",1985,"Gulkana, AK"
Kenai,Alaska,60.5544444,-151.2583333,2,Era Helicopter - Air Taxi,"Kenai, AK",1983,Return
Kenai,Alaska,60.5544444,-151.2583333,6,Southcentral Air,"Kenai, AK",1970,"Anchorage, AK"
Stevens Pass,Pennsylvania,40.2459209,-76.2124143,7,Kenmore Air - Air Taxi,"Kenmore, WA",1977,"Lake Hatheume, Canada"
Off Athens,Greece,37.983917,23.7293599,37,OlympiAirways,Kerkira,1984,Athens
Ketchikan,Alaska,55.3422222,-131.6461111,5,Revilla Flying Service - Air Taxi,"Ketchikan, AK",1978,"Metlakatla, AK"
Hydaburg,Alaska,55.2080556,-132.8266667,5,Tyee Airlines - Air Taxi,"Ketchikan, AK",1970,"Hydaburg, AK"
Near Klawock,Alaksa,55.5522222,-133.0958333,8,Air Taxi - Tyee Airlines Inc.,"Ketchikan, AK",1979,"Craig, AK"
Liscomb Bay,Alaska,61.1194999,-149.7967183,3,Air Taxi - Temesco Helicopters Inc.,"Ketichikan, AK",1977,"Security Cove, AK"
Don Muang,Thailand,13.9267169,100.5858786,44,Thai Airways,Khon Kaen,1985,Bangkok
Near Kotzbue,Alaska,66.8983333,-162.5966666,4,Air Taxi,"Kiana, AK",1980,"Kotzebue, AK"
Cold Bay,Alaska,55.204498,-162.7183867,4,Penninsula Airways - Air Taxi,"King Cove, AK",1979,"Cold Bay, AK"
AtlantiOcean,No Record Found,-14.5994134,-28.6731465,3,Viking Air Service - Air Taxi,"King Salmon, AK",1981,"Kodiak, AK"
Fort Apache,Arizona,33.79062,-109.9887125,2,Deming Flying Service - Air Taxi,"Kingman, AZ",1973,"Deming, NM"
Near Huntington,West Virginia,38.4192496,-82.445154,75,Southern Airways,"Kingston, NC",1973,"Huntington, WV"
