crash_city,lat,lon,crash_country,death,airline
Lebo,38.4166818,-95.8530441,Kansas,1,Varney Air Lines
Huron,45.0521793,-82.485094,Ohio,3,Qantas
Edgerton,42.8352835,-89.0676125,Ohio,1,Grands Express Aeriens
Edgerton,42.8352835,-89.0676125,Ohio,2,KLM Royal Dutch Airlines
Near Canajoharie,42.9056288,-74.5718073,New York,1,National Air Transport
Spur,33.4764767,-100.8556857,Texas,1,National Air Transport
Purley,51.339228,-0.119711,England,3,Universal Airlines
Near Port Townsend,48.1170387,-122.7604472,BC,3,Continental Air Lines
Reims,49.258329,4.031696,France,3,Colonial Western Airlines
Chattanooga,35.0456297,-85.3096801,Tennessee,5,Sunbeam Air Transport Co.
Letzlingen,52.4465493,11.4862361,Germany,4,Imperial Airways
Rio de Janeiro,-22.9068467,-43.1728965,Brazil,7,British Columbia Airways
Brazil,-14.235004,-51.92528,,2,CIDNA
Bristolville,41.3873741,-80.8691273,Ohio,4,Interstate Airlines
Off Gibraltar,16.4180867,120.6213966,,3,Deutsche Lufthansa
Valence,44.933393,4.89236,France,6,
Polk,41.3670014,-79.9292233,Pennsylvania,14,Syndicato Condor
Gerona,41.9794005,2.8214264,Spain,1,National Air Transport
Heroldbach,49.6908242,11.0048276,Germany,1,Aeropostale
Pocatello,42.8713032,-112.4455344,Idaho,1,Air Union
Adelaide Hills,-34.9998249,138.7995122,Australia,1,National Air Transport
Toul,48.678296,5.890159,France,3,Aeropostale
Waalhaven harbor,51.8503946,5.8521447,Netherlands,3,Deutsche Lufthansa
Over the Gulf of Finland,59.9124514,26.2623373,,7,National Parks Airways
Frankfurt,50.1109221,8.6821267,Germany,1,Qantas
Radevormwald,51.2015995,7.3590901,Germany,3,CIDNA
Dearborn,42.3222599,-83.1763145,Minnesota,1,KLM Royal Dutch Airlines
Federal,19.123056,-96.1054549,Wyoming,6,Aero O-Y
Off Cape Griz Nez,50.871091,1.583382,France,5,Deutsche Lufthansa
Rio de Janeiro,-22.9068467,-43.1728965,Brazil,3,Deutsche Lufthansa
Marquette,46.5475825,-87.3955954,Nebraska,2,Ford Air Freight Inc.
Almeria,36.834047,-2.4637136,Spain,1,Aeropostale
France,46.227638,2.213749,,9,Iberia Airlines
Tarragona,41.1188827,1.2444909,Spain,1,Boeing Air Transport
Solis,26.1759808,-97.8449549,Uruguay,2,Air Union
,,,,10,
,,,,1,Boeing Air Transport
,,,,1,Aeropostale
,,,,1,Aeropostale
,,,,2,Aeropostale
,,,,2,Aeropostale
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
